Club Name,Description,Commitment Level,Categories,Image URL,Link
The Earth Project,To create an organization that spreads awareness about climate change by presenting research about its chemical and socio-political ramifications.,Medium Commitment,"Community Service & Volunteering, STEM, Publication","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/The-Earth-Project/cd74bde0",/The-Earth-Project
Mu Alpha Theta Stuy,To provide recognition and opportunity based on mathematical skill.,Low Commitment,"Academic & Professional, STEM, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/mualphathetastuy/9bc5a7ad",/mualphathetastuy
SU IT,"This activity is used to test new StuyActivities Features as well as handle room reservations & official business for the SU IT Department.
Formerly known as ""Test Activity"" (changed due to confusion).",Low Commitment,"Community Service & Volunteering, STEM, Student Support & Government","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/test/c3ddb8c5",/test
Stuy Bioinformatics,Stuy Bioinformatics creates a space where students express their interests and publish articles on the applications of computer science in biology.,Medium Commitment,"Academic & Professional, STEM, Publication","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/bioinformatics/35dc29cb",/bioinformatics
Life Lift Initiative,Spreading joy and happiness to individuals undergoing medical treatments by organizing events and workshops that bring smiles to their faces.,Medium Commitment,"Academic & Professional, Community Service & Volunteering","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/lifeliftinitiative/8e2bc9c3",/lifeliftinitiative
StuyFlow,StuyFlow was created to spread the flow arts and provide a friendly environment for students to express their concerns or thoughts with each other.,Medium Commitment,"Music, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyflow/77c88571",/stuyflow
StuyGamePigeons,"Connecting students of Stuyvesant through their shared interests in game pigeon, the messenger game.",Low Commitment,"Club Sports & Recreational Games, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/StuyGamePigeons/118da786",/StuyGamePigeons
Stuyvesant Honkai: Star Rail Club,"The Stuyvesant Honkai: Star Rail Club aims to connect students through Honkai: Star Rail, a space fantasy RPG gacha game.",Low Commitment,"Club Sports & Recreational Games, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/StuyvesantHonkaiStarRailClub/edc55ef3",/StuyvesantHonkaiStarRailClub
Model U.N.,"The Stuyvesant Model UN team is a great place to learn about international relations, public speaking, debate, networking, leadership, and diplomacy.",Medium Commitment,"Public Speaking, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/mun/d9b57fd0",/mun
StuyPediatrics,Stuy Pediatrics aims to educate Stuy students on the physical and mental well-being of the youth and tips on how to succeed as future pediatricians.,Low Commitment,"Academic & Professional, STEM, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/StuyPediatrics/e62f8820",/StuyPediatrics
StuyPong,StuyPong is a casual table tennis club! Join if you want to improve your game or just for fun!,Low Commitment,"Club Sports & Recreational Games, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuypong/a8647248",/stuypong
HumansofStuy,"Humans of Stuy aims to capture the stories of Stuyvesant, one photograph at a time.",Low Commitment,"Academic & Professional, Hobby & Special Interests, Publication","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/humansofstuy/a46a47a7",/humansofstuy
Stars & Jars,Stars & Jars is a charity organization dedicated to bridging the gap between senior citizens and NYC youth through art and service.,Low Commitment,"Arts & Crafts, Community Service & Volunteering","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/starsandjars/78a408c6",/starsandjars
Stuy Knitting Club,Stuy Knitting Club is dedicated to teaching people the art of knitting in a warm and open environment.,Low Commitment,"Arts & Crafts, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyknittingclub/e8a88ddd",/stuyknittingclub
Harry Potter Fan Club,The Harry Potter club is an appreciation of all things Harry Potter! We do everything from play trivia games to watch movies and even have fun crafts!,Low Commitment,"Arts & Crafts, Cultural & Religious, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/harrypotterfanclub/f86286da",/harrypotterfanclub
Stuyvesant Armenian Club,Stuyvesant Armenian Club aims to foster a community of Armenians and Armenian allies interested in learning more about the culture.,Low Commitment,"Community Service & Volunteering, Cultural & Religious","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/ArmenianClub/cce4e610",/ArmenianClub
StuySky,"StuySky explores and discusses interesting phenomena, concepts and recent events in astronomy/astrophysics and meteorology in a relaxed environment.",Low Commitment,"STEM, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuysky/cbb4b642",/stuysky
The Stuyvesant TCG Club,"""Stuyvesant TCG Club is a place where students can learn and play trading card games, relax, and make new friends!""",Low Commitment,"Club Sports & Recreational Games, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/StuyTCG/696fbaf1",/StuyTCG
Stuy MMA,"Stuy MMA intends to teach students how to fight in MMA, improve physicality and confidence, strengthen the body, hone the mind, and sharpen the spirit",Medium Commitment,"Club Sports & Recreational Games, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuymma/bca0f5b6",/stuymma
StuyFilmmaking,"The StuyFilmmaking Club’s mission is to teach members about the filmmaking process and work together to write, film, and edit creative short films.",Low Commitment,"Arts & Crafts, Music, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/StuyFilmmaking/033127f8",/StuyFilmmaking
truecrime.stuy,truecrime.stuy is a club for all fellow true crime enthusiasts and those interested in the psychological makeup of criminals.,Low Commitment,"STEM, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/truecrime/2f40883e",/truecrime
StuyBolly,StuyBolly strives to immerse students into the world of Bollywood through dance.,Medium Commitment,Cultural & Religious,"https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuybolly/f574dac1",/stuybolly
Aspire,Aspire is a program aiming to help students experience a better transition from middle school to high school,Medium Commitment,"Academic & Professional, Community Service & Volunteering, Student Support & Government","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/aspire/30109035",/aspire
Stuyvesant Physics Team,The goal of the Stuyvesant Physics Team is to expose the members to numerous fields of physics and prepare them for physics competitions.,Medium Commitment,"Academic & Professional, STEM, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuypht/c83109d3",/stuypht
Stuyvesant Donated Apparel,Stuyvesant Donated Apparel’s main focus is fostering creativity by designing clothes and helping those in need.,Low Commitment,"Arts & Crafts, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/sda/607146d7",/sda
stuy book club,"Here, you'll find passionate readers, wholesome evenings, and captivating biweekly discussions on a variety of books!",Low Commitment,"Academic & Professional, Hobby & Special Interests, Publication","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuybookclub/e740a21d",/stuybookclub
Stuyvesant Classical Music Listeners,Stuy Classical Music Listeners aims to provide students with free opportunities to see performances from the NYC Ballet and New York Philharmonic.,Low Commitment,"Music, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/classicalMusicListeners/494ce28d",/classicalMusicListeners
Stuy Yo-Throws,Our mission is to introduce the performing art of Chinese yo-yo to the Stuyvesant community!,Low Commitment,"Club Sports & Recreational Games, Cultural & Religious, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuy-yo-throws/39d46db0",/stuy-yo-throws
Pstuychology,Making psychology fun and accessible for all students!,Low Commitment,"Academic & Professional, STEM, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/pstuychology/8c1714fd",/pstuychology
Stuyvesant Art Immersion Project,To make art accessible for Stuyvesant students.,Medium Commitment,"Arts & Crafts, Academic & Professional, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyaip/ff6a07fb",/stuyaip
ACLU at Stuy,"The Stuyvesant chapter of the ACLU, which connects students with resources and opportunities to further our mission of creating a more equal society.",Low Commitment,"Academic & Professional, Community Service & Volunteering, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/aclu/9448bef3",/aclu
Stuyvesant Math Survey,"Math Survey publishes math and computer science research, articles, and puzzles to promote human flourishing throughout the entire Stuy community.",Low Commitment,"STEM, Publication","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuymathsurvey/9daab3a2",/stuymathsurvey
Stuyvesant Burmese Association,The Burmese Association's mission is to spread Burmese culture throughout Stuyvesant High School,Low Commitment,Cultural & Religious,"https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyburma/a492d0b7",/stuyburma
StuyBoxing,A place where students can learn the fundamentals of boxing and do some exercise.,Low Commitment,"Club Sports & Recreational Games, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/StuyBoxing/c6bf56f4",/StuyBoxing
Stuyvesant Photography Club,"The Stuy Photography Club aims to be an outlet for all interested in photography, whether a beginner or a professional.",Low Commitment,"Academic & Professional, Hobby & Special Interests, Publication","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyphotoclub/bde38b46",/stuyphotoclub
Stuyvesant HOSA,"HOSA's mission is to empower students to become leaders in the global health community, through education, collaboration, and experience.",Medium Commitment,"Academic & Professional, STEM, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyhosa/20abd96b",/stuyhosa
StuyOrienteers,StuyOrienteers is Stuy's orienteering team. We aim to educate people in and provide opportunities to compete in the sport of orienteering.,Low Commitment,"Club Sports & Recreational Games, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/orienteers/f2d23db9",/orienteers
StuyOrigami,"StuyOrigami hopes to provide students interested in origami, whether beginners or more advanced, a place to relax and enjoy a common interest.",Low Commitment,"Arts & Crafts, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/StuyOrigami/09e779fb",/StuyOrigami
StuyHustles,Lessons on simple ways to make money through a “side-hustle” while achieving experience in the field of one’s choice.,Low Commitment,"Academic & Professional, Community Service & Volunteering, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyhustles/e3091f76",/stuyhustles
Stuyvesant Pre-Health Shadowing,We strive to develop a community where members can explore careers in medicine and learn about medicine with others in an engaging way!,Low Commitment,"Academic & Professional, STEM","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyphs/97a7be89",/stuyphs
StuyBloxCreation,"StuyBloxCreation is the place for students to create their own Roblox games! We teach various skills like scripting, modeling, user interface!",Medium Commitment,"Club Sports & Recreational Games, STEM, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/StuyBloxCreation/43c17e30",/StuyBloxCreation
Business and Trading,This club would introduce its members to business and trading with a focus on globalization and international business.,Medium Commitment,"Academic & Professional, Public Speaking, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/businessandtrading/b1a6fc7d",/businessandtrading
StuyASL,To provide a space for Stuy students to learn and discuss American Sign Language and Deaf culture.,Low Commitment,"Cultural & Religious, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyasl/d5fb1d14",/stuyasl
Stuyvesant Girl Up,Stuyvesant Girl Up is a club that educates students on female empowerment and topics relating to gender inequality.,Low Commitment,"Academic & Professional, Student Support & Government, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/girlup/6127173b",/girlup
Girls Wrestling Club,The Girls Wrestling Club is meant to empower young women through the art of wrestling since Stuy currently doesn't have a girls' wrestling team.,Low Commitment,"Club Sports & Recreational Games, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/girlswrestling/3cb02cd0",/girlswrestling
StuyDev,StuyDev develops useful websites to make life at Stuyvesant easier for both students and teachers.,Medium Commitment,"Community Service & Volunteering, STEM, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuydev/4491874f",/stuydev
Stuyvesant MultiRacial Student Union,Aims to create a community where students can collaborate and engage in discussion of topics concerning multiracial identity.,Low Commitment,"Community Service & Volunteering, Cultural & Religious, Student Support & Government","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/msu/78d28531",/msu
Stuy Ren'Py,Stuy Ren'Py aims to bring together STEM and creativity through creating visual novels.,Low Commitment,"Arts & Crafts, STEM, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyrenpy/823cdfad",/stuyrenpy
Stuy Social,The purpose of creating Stuy Social is to host social events while also raising money to donate to a different hospital each month.,Low Commitment,"Club Sports & Recreational Games, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/StuySocial/170246f9",/StuySocial
Stuyvesant Science Olympiad,Stuyvesant Science Olympiad explores and strives to excel in a variety of disciplines in the realm of science through learning and competition!,High Commitment,"Academic & Professional, STEM, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyoly/1f37689d",/stuyoly
StuyInterviews,"StuyInterviews plans to host trivias, reaction videos, podcasts, guest speakers, social experiments, debates, comical relief, and much more!",Low Commitment,"Community Service & Volunteering, Hobby & Special Interests, Publication","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyinterviews/27e8ba01",/stuyinterviews
Ukrainian Culture Club,UCC creates a strong and supportive Ukrainian community in Stuyvesant. All are welcome!,Low Commitment,"Community Service & Volunteering, Cultural & Religious","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/ucc/9f485496",/ucc
Stuy Inkpact,Stuy Inkpact aims to raise awareness about social justice through art by publishing a magazine and teaching students how everyone can make an impact.,Medium Commitment,"Arts & Crafts, Community Service & Volunteering, Publication","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyinkpact/b79f2068",/stuyinkpact
MENA Middle East North Africa Club,The MENA organization serves to represent the Middle Eastern and North African region for Stuyvesant students. Anyone is encouraged and welcome tojoin,Low Commitment,"Academic & Professional, Community Service & Volunteering, Cultural & Religious","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/httpsstuyactivitiesorgcharter/616ed289",/httpsstuyactivitiesorgcharter
Stuyvesant Competitive Gaming Club,The Stuyvesant Competitive Gaming Club unites our gaming community and provides opportunities to participate in eSport leagues for Valorant and League,Low Commitment,"Academic & Professional, Club Sports & Recreational Games, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/SCGC/11ee6c9f",/SCGC
Stuy Media,"Stuy Media aims to create long-form content to connect the student body in meaningful, empathetic, and entertaining ways.",Medium Commitment,"Hobby & Special Interests, Publication","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuymedia/5710e3dc",/stuymedia
StuyWhy,StuyWhy aims to foster discussion between students about philosophical and psychological ideas to expand upon one's perspective of life.,Low Commitment,"Cultural & Religious, Public Speaking, Publication","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuywhy/431d0956",/stuywhy
StuyMED,"Stuyvesant Medicine, Epidemiology, and Disease (StuyMED) aims to serve students interested in pursuing medicine, epidemiology, and disease research.",Low Commitment,"Academic & Professional, STEM, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/StuyMED/4abc9f17",/StuyMED
Ethics and Politics,"A club dedicated to bringing attention to global politics, the ethics surrounding them and preparing for the Ethics Bowl and other competitions.",Medium Commitment,"Academic & Professional, Cultural & Religious, Public Speaking","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/ethicsandpolitics/8eb0d543",/ethicsandpolitics
Sports Management Club,The mission of this club is to explore the many fields in sports management and form connections with sports organizations and professional teams.,Medium Commitment,"Academic & Professional, Club Sports & Recreational Games, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuysmc/2aa2baec",/stuysmc
Stuy Busk,"Stuy Busk strives to bring the joy of music to every corner of New York City, all while utilizing any funds received for charitable purposes.",Medium Commitment,"Community Service & Volunteering, Music, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuybusk/36985f2a",/stuybusk
StuyQuantum,To learn about quantum computing and its applications as a community.,Medium Commitment,"Academic & Professional, STEM, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyquantum/350bf798",/stuyquantum
Stuy SPICE,StuySPICE aims to advocate and raise awareness for people with disabilities in order to create a more inclusive and equal community for everyone.,Low Commitment,"Academic & Professional, Community Service & Volunteering, Student Support & Government","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyspice/7b9a9deb",/stuyspice
Stuyvesant Genshin Impact Club,"The Stuyvesant Genshin Impact Club aims to connect and destress students through Genshin Impact, an open-world RPG with gacha elements.",Low Commitment,"Club Sports & Recreational Games, Cultural & Religious, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/sgic/5c7511aa",/sgic
Stuy Tetris,Stuy Tetris aims to teach the basics and the strategies that players can use in modern multiplayer Tetris.,Low Commitment,"Club Sports & Recreational Games, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuy-tetris/64b5e2f2",/stuy-tetris
StuyCycle,StuyCycles mission is to bring biking to people of all skill levels and aims to teach them how to properly utilize bikes to traverse the city.,Low Commitment,"Club Sports & Recreational Games, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuycycle/aa7de72d",/stuycycle
Stuyvesant Sticky Fingers (Boy's Ultimate Frisbee Team),"The Stuyvesant Sticky Fingers bring Ultimate Frisbee to the Stuyvesant community, allowing players from Stuyvesant to compete in games and tournaments",High Commitment,"Club Sports & Recreational Games, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/boysultimatefrisbee/e2a7cada",/boysultimatefrisbee
Puentes a la Hispanidad,Puentes a la Hispanidad’s mission is to provide an enriching linguistic and cultural immersion program that extends far beyond the Spanish classroom.,Low Commitment,"Community Service & Volunteering, Public Speaking, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/puentes/69bb082c",/puentes
Stuy NYT,Stuy New York Times Club seeks to introduce resources and promote news awareness to the general population.,Low Commitment,"Club Sports & Recreational Games, Hobby & Special Interests, Publication","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuynyt/5e72c83c",/stuynyt
Stuy Chinese Literature Appreciation,Gather to read interesting Chinese literature and find the beauty of language.,Low Commitment,"Cultural & Religious, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/CLAP/1c9deed1",/CLAP
Stuy Advice Column,Stuy Advice Column aspires to create a community where students can share their troubles and request for advice in an open and accepting environment.,Low Commitment,"Student Support & Government, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyadvicecolumn/8df44d43",/stuyadvicecolumn
Black Students League (BSL),BSL aims to create a friendly and welcoming environment where people of color can freely indulge in important and productive race-related discussions.,Low Commitment,"Cultural & Religious, Student Support & Government","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuybsl/9f593c3c",/stuybsl
Test Activity 2,This activity is a testing environment for SU IT Members!,Low Commitment,"Arts & Crafts, Academic & Professional, Club Sports & Recreational Games","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/test2/e9d018eb",/test2
Stuynomics,Our mission is to help the Stuy community learn the principles of economics and personal finance in order to build a foundation for future endeavors.,Low Commitment,"Academic & Professional, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuynomics/218083dd",/stuynomics
Stuy Puzzle Hunts,"Stuy Puzzlehunts aims to create a fun and inclusive environment to write and solve puzzles, as well as compete in puzzlehunts.",Low Commitment,"STEM, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/puzzlehunts/ef59a8e5",/puzzlehunts
Girls Learn International,"Our mission is to empower and educate students to advocate for human rights, equality, and universal education in the U.S. and globally.",Medium Commitment,Community Service & Volunteering,"https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/girlslearninternational/f8054696",/girlslearninternational
StuyAviators,StuyAviators aims to unite those who have an interest in aviation and give them a preliminary introduction to the aviation industry.,Low Commitment,"Academic & Professional, STEM, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyaviators/c107c240",/stuyaviators
⚽️Football 4 Fun⚽️,This club's mission is to provide organized football for everyone who wants to play and have fun with friends.,Low Commitment,"Club Sports & Recreational Games, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/Football4Fun/6cdd8631",/Football4Fun
Girls Who Code,Provide a supportive and fun environment to learn computer science and help close the gender gap in computer science.,Low Commitment,"Club Sports & Recreational Games, STEM","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/gwc/ae99a82e",/gwc
